country,year,parity,mean_age_at_birth,n
Benin,2001,6,30.983297122161716,1368
Benin,2001,7,32.91427880555964,978
Benin,2001,8,34.680247144188826,647
Benin,2001,9,36.084850580058706,362
Benin,2001,10,37.56271442615426,184
Benin,2001,11,38.5130141836845,88
Benin,2001,12,40.177605010348294,34
Benin,2001,13,41.87447946424568,9
Benin,2001,14,43.30320554833222,3
Benin,2001,15,48,1
Benin,2006,1,19.74508103193332,13814
Benin,2006,2,22.41739774241385,11637
Benin,2006,3,24.790053444007203,9406
Benin,2006,4,27.023119738213033,7335
Benin,2006,5,29.1688504822705,5435
Benin,2006,6,31.181092153567963,3876
Benin,2006,7,33.20291394694746,2597
Benin,2006,8,34.74395761885319,1568
Benin,2006,9,36.150663546116014,865
Benin,2006,10,37.46158265192821,426
Benin,2006,11,37.85560001717928,173
Benin,2006,12,38.31733152287514,76
Benin,2006,13,37.597715327617465,15
Benin,2006,14,38.18886150349857,4
Benin,2006,15,37.18029948586983,2
Benin,2006,16,39.836771084636325,2
Benin,2006,17,42.00000000000001,1
Benin,2011,1,20.440328605958634,12522
Benin,2011,2,23.200594425817965,10436
Benin,2011,3,25.590366047646928,8226
Benin,2011,4,27.664959743627882,6074
Benin,2011,5,29.553851496690136,4145
Benin,2011,6,31.25296825394225,2659
Benin,2011,7,32.67700700134355,1518
Benin,2011,8,34.092808846435254,846
Benin,2011,9,35.285338918139566,409
Benin,2011,10,36.09512884683246,189
Benin,2011,11,37.254699203590235,85
Benin,2011,12,37.99952236384208,26
Benin,2011,13,38.47797141633003,10
Benin,2011,14,38.2314230168913,5
Benin,2011,15,44.05901123622332,2
Benin,2017,1,20.218078116327213,11756
Benin,2017,2,23.007791848970673,9715
Benin,2017,3,25.574261608123518,7761
Benin,2017,4,27.932072607255986,5897
Benin,2017,5,30.16000770918332,4193
Benin,2017,6,32.07482140792815,2817
Benin,2017,7,33.95376767358179,1780
Benin,2017,8,35.61898253808542,1012
Benin,2017,9,37.11119750739335,514
Benin,2017,10,38.263183617062936,256
Benin,2017,11,38.43760749410404,94
Benin,2017,12,38.83789318709428,34
Benin,2017,13,40.79527654508585,16
Benin,2017,14,41.32284705843744,6
Benin,2017,15,42.583333333333336,1
Benin,2017,16,45.916666666666664,1
Sierra Leone,2008,1,19.20785668784204,5876
Sierra Leone,2008,2,22.073948102607364,4715
Sierra Leone,2008,3,24.60757773083417,3534
Sierra Leone,2008,4,26.991241863176235,2567
Sierra Leone,2008,5,28.966290807583203,1762
Sierra Leone,2008,6,30.954828665599024,1175
Sierra Leone,2008,7,32.51968962099688,725
Sierra Leone,2008,8,33.97990025312351,414
Sierra Leone,2008,9,35.501880660744135,208
Sierra Leone,2008,10,36.57629860347696,102
Sierra Leone,2008,11,37.47396608210091,42
Sierra Leone,2008,12,37.327181827656624,15
Sierra Leone,2008,13,43.916666666666664,1
Sierra Leone,2013,1,19.101750843047444,12352
Sierra Leone,2013,2,22.16140697632459,9890
Sierra Leone,2013,3,24.826583127028176,7830
Sierra Leone,2013,4,27.315675857611826,6028
Sierra Leone,2013,5,29.45488444571417,4313
Sierra Leone,2013,6,31.30686914584061,2849
Sierra Leone,2013,7,33.05991706012898,1863
Sierra Leone,2013,8,34.55628979823018,1132
Sierra Leone,2013,9,36.039055453364,612
Sierra Leone,2013,10,36.94726999770653,314
Sierra Leone,2013,11,37.73180770852699,127
Sierra Leone,2013,12,38.457225990217,48
Sierra Leone,2013,13,38.824254106534205,23
Sierra Leone,2013,14,38.692831769578206,9
Sierra Leone,2013,15,43.416666666666664,1
Sierra Leone,2013,16,43.416666666666664,1
Gabon,2000,1,18.39712742658277,4499
Gabon,2000,2,21.300058574019516,3394
Gabon,2000,3,23.61427120126978,2559
Gabon,2000,4,25.859884806061654,1941
Gabon,2000,5,27.960932855754663,1441
Gabon,2000,6,29.839393461454094,1068
Gabon,2000,7,31.75350456743759,757
Gabon,2000,8,33.388751586448436,521
Gabon,2000,9,34.747852107626635,325
Gabon,2000,10,35.64717429274029,197
Gabon,2000,11,36.952497666536566,102
Gabon,2000,12,37.75355312023791,44
